sample_validation_id,primary_dataset,jet_bin,microband,n
Run2016G_remote_mht_aware_fresh,MET,0jet,q99_100,72
Run2016G_remote_mht_aware_fresh,MET,1to2jets,q90_95,354
Run2016G_remote_mht_aware_fresh,MET,1to2jets,q95_97,127
Run2016G_remote_mht_aware_fresh,MET,1to2jets,q97_98,58
Run2016G_remote_mht_aware_fresh,MET,1to2jets,q98_99,60
Run2016G_remote_mht_aware_fresh,MET,1to2jets,q99_100,54
Run2016G_remote_mht_aware_fresh,MET,3to4jets,q90_95,55
Run2016G_remote_mht_aware_fresh,MET,3to4jets,q95_97,21
Run2016G_remote_mht_aware_fresh,MET,3to4jets,q97_98,12
Run2016G_remote_mht_aware_fresh,MET,3to4jets,q98_99,2
Run2016G_remote_mht_aware_fresh,MET,3to4jets,q99_100,4
Run2016G_remote_mht_aware_fresh,MET,5plusjets,q90_95,7
Run2016G_remote_mht_aware_fresh,MET,5plusjets,q95_97,2
Run2016G_remote_mht_aware_fresh,MET,5plusjets,q98_99,1
Run2016G_remote_mht_aware_fresh,SingleMuon,0jet,q90_95,8
Run2016G_remote_mht_aware_fresh,SingleMuon,0jet,q95_97,1
Run2016G_remote_mht_aware_fresh,SingleMuon,1to2jets,q90_95,614
Run2016G_remote_mht_aware_fresh,SingleMuon,1to2jets,q95_97,245
Run2016G_remote_mht_aware_fresh,SingleMuon,1to2jets,q97_98,122
Run2016G_remote_mht_aware_fresh,SingleMuon,1to2jets,q98_99,124
Run2016G_remote_mht_aware_fresh,SingleMuon,1to2jets,q99_100,110
Run2016G_remote_mht_aware_fresh,SingleMuon,3to4jets,q90_95,120
Run2016G_remote_mht_aware_fresh,SingleMuon,3to4jets,q95_97,45
Run2016G_remote_mht_aware_fresh,SingleMuon,3to4jets,q97_98,25
Run2016G_remote_mht_aware_fresh,SingleMuon,3to4jets,q98_99,22
Run2016G_remote_mht_aware_fresh,SingleMuon,3to4jets,q99_100,36
Run2016G_remote_mht_aware_fresh,SingleMuon,5plusjets,q90_95,8
Run2016G_remote_mht_aware_fresh,SingleMuon,5plusjets,q95_97,9
Run2016G_remote_mht_aware_fresh,SingleMuon,5plusjets,q97_98,3
Run2016G_remote_mht_aware_fresh,SingleMuon,5plusjets,q98_99,4
Run2016G_remote_mht_aware_fresh,SingleMuon,5plusjets,q99_100,4
Run2016H_remote_mht_aware,HTMHT,1to2jets,q90_95,870
Run2016H_remote_mht_aware,HTMHT,1to2jets,q95_97,402
Run2016H_remote_mht_aware,HTMHT,1to2jets,q97_98,205
Run2016H_remote_mht_aware,HTMHT,1to2jets,q98_99,228
Run2016H_remote_mht_aware,HTMHT,1to2jets,q99_100,214
Run2016H_remote_mht_aware,HTMHT,3to4jets,q90_95,749
Run2016H_remote_mht_aware,HTMHT,3to4jets,q95_97,268
Run2016H_remote_mht_aware,HTMHT,3to4jets,q97_98,129
Run2016H_remote_mht_aware,HTMHT,3to4jets,q98_99,103
Run2016H_remote_mht_aware,HTMHT,3to4jets,q99_100,124
Run2016H_remote_mht_aware,HTMHT,5plusjets,q90_95,141
Run2016H_remote_mht_aware,HTMHT,5plusjets,q95_97,40
Run2016H_remote_mht_aware,HTMHT,5plusjets,q97_98,16
Run2016H_remote_mht_aware,HTMHT,5plusjets,q98_99,19
Run2016H_remote_mht_aware,HTMHT,5plusjets,q99_100,22
Run2016H_remote_mht_aware,JetHT,0jet,q99_100,2
Run2016H_remote_mht_aware,JetHT,1to2jets,q90_95,654
Run2016H_remote_mht_aware,JetHT,1to2jets,q95_97,292
Run2016H_remote_mht_aware,JetHT,1to2jets,q97_98,159
Run2016H_remote_mht_aware,JetHT,1to2jets,q98_99,165
Run2016H_remote_mht_aware,JetHT,1to2jets,q99_100,233
Run2016H_remote_mht_aware,JetHT,3to4jets,q90_95,1089
Run2016H_remote_mht_aware,JetHT,3to4jets,q95_97,432
Run2016H_remote_mht_aware,JetHT,3to4jets,q97_98,217
Run2016H_remote_mht_aware,JetHT,3to4jets,q98_99,206
Run2016H_remote_mht_aware,JetHT,3to4jets,q99_100,158
Run2016H_remote_mht_aware,JetHT,5plusjets,q90_95,227
Run2016H_remote_mht_aware,JetHT,5plusjets,q95_97,66
Run2016H_remote_mht_aware,JetHT,5plusjets,q97_98,24
Run2016H_remote_mht_aware,JetHT,5plusjets,q98_99,19
Run2016H_remote_mht_aware,JetHT,5plusjets,q99_100,7
Run2016H_remote_mht_aware,MET,0jet,q90_95,878
Run2016H_remote_mht_aware,MET,0jet,q95_97,409
Run2016H_remote_mht_aware,MET,0jet,q97_98,225
Run2016H_remote_mht_aware,MET,0jet,q98_99,224
Run2016H_remote_mht_aware,MET,0jet,q99_100,289
Run2016H_remote_mht_aware,MET,1to2jets,q90_95,1083
Run2016H_remote_mht_aware,MET,1to2jets,q95_97,395
Run2016H_remote_mht_aware,MET,1to2jets,q97_98,174
Run2016H_remote_mht_aware,MET,1to2jets,q98_99,173
Run2016H_remote_mht_aware,MET,1to2jets,q99_100,111
Run2016H_remote_mht_aware,MET,3to4jets,q90_95,162
Run2016H_remote_mht_aware,MET,3to4jets,q95_97,47
Run2016H_remote_mht_aware,MET,3to4jets,q97_98,26
Run2016H_remote_mht_aware,MET,3to4jets,q98_99,28
Run2016H_remote_mht_aware,MET,3to4jets,q99_100,27
Run2016H_remote_mht_aware,MET,5plusjets,q90_95,17
Run2016H_remote_mht_aware,MET,5plusjets,q95_97,9
Run2016H_remote_mht_aware,MET,5plusjets,q97_98,5
Run2016H_remote_mht_aware,MET,5plusjets,q98_99,5
Run2016H_remote_mht_aware,MET,5plusjets,q99_100,3
Run2016H_remote_mht_aware,SingleMuon,0jet,q90_95,17
Run2016H_remote_mht_aware,SingleMuon,0jet,q95_97,4
Run2016H_remote_mht_aware,SingleMuon,0jet,q98_99,1
Run2016H_remote_mht_aware,SingleMuon,1to2jets,q90_95,1028
Run2016H_remote_mht_aware,SingleMuon,1to2jets,q95_97,400
Run2016H_remote_mht_aware,SingleMuon,1to2jets,q97_98,209
Run2016H_remote_mht_aware,SingleMuon,1to2jets,q98_99,209
Run2016H_remote_mht_aware,SingleMuon,1to2jets,q99_100,205
Run2016H_remote_mht_aware,SingleMuon,3to4jets,q90_95,190
Run2016H_remote_mht_aware,SingleMuon,3to4jets,q95_97,91
Run2016H_remote_mht_aware,SingleMuon,3to4jets,q97_98,34
Run2016H_remote_mht_aware,SingleMuon,3to4jets,q98_99,37
Run2016H_remote_mht_aware,SingleMuon,3to4jets,q99_100,38
Run2016H_remote_mht_aware,SingleMuon,5plusjets,q90_95,15
Run2016H_remote_mht_aware,SingleMuon,5plusjets,q95_97,5
Run2016H_remote_mht_aware,SingleMuon,5plusjets,q97_98,7
Run2016H_remote_mht_aware,SingleMuon,5plusjets,q98_99,3
Run2016H_remote_mht_aware,SingleMuon,5plusjets,q99_100,7
