audit_utc,record_id,process_family,purpose,title,cross_section_pb,cross_section_uncertainty_pb,generated_events,filter_efficiency,matching_efficiency,negative_weight_fraction,record_file_count,online_file_count,selected_file_count,planned_events,record_url,normalisation_rule
2026-06-22T09:06:17.726596+00:00,69746,WJets,inclusive lost-lepton component,/WJetsToLNu_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,54110.0,21.0,82754918,1.0,0.4,0.0,945,1,1,5000,https://opendata.cern.ch/record/69746,use per-event generator_weight and record-level sum of generator weights when available; otherwise mark yield non-final
2026-06-22T_ZNuNuHT_extension,74901,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-400To600_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,9.914,0.003824,6114046,1.0,0.1,0.0,104,1,1,5000,https://opendata.cern.ch/record/74901,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_ZNuNuHT_extension,74903,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-600To800_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,2.409,0.001678,1881671,1.0,0.1,0.0,43,1,1,5000,https://opendata.cern.ch/record/74903,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_ZNuNuHT_extension,74905,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-800To1200_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,1.077,0.001655,633500,1.0,0.1,0.0,27,1,1,5000,https://opendata.cern.ch/record/74905,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_ZNuNuHT_extension,74895,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-1200To2500_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,0.2495,0.000703,115609,1.0,0.1,0.0,21,1,1,5000,https://opendata.cern.ch/record/74895,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_ZNuNuHT_extension,74899,ZNuNu,invisible-Z HT-binned component,/ZJetsToNuNu_HT-2500ToInf_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,0.005614,1.616e-05,110461,1.0,0.1,0.0,4,1,1,5000,https://opendata.cern.ch/record/74899,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTJets_extension,67710,TTTop,TTJets genMET-150 top background component,/TTJets_DiLept_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,3.261,0.001745,6045127,0.06261,0.3,0.0,358,1,1,5000,https://opendata.cern.ch/record/67710,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTJets_extension,67722,TTTop,TTJets genMET-150 top background component,/TTJets_SingleLeptFromTbar_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,5.476,0.009828,5779374,0.051,0.3,0.0,400,1,1,5000,https://opendata.cern.ch/record/67722,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTJets_extension,67726,TTTop,TTJets genMET-150 top background component,/TTJets_SingleLeptFromT_genMET-150_TuneCP5_13TeV-madgraphMLM-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,5.566,0.002675,7410828,0.05152,0.3,0.0,439,1,1,5000,https://opendata.cern.ch/record/67726,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTAssoc_extension,68205,TTAssoc,TTZToQQ rare top-associated background component,/TTZToQQ_TuneCP5_13TeV_amcatnlo-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,,,27571062,,,,878,1,1,5000,https://opendata.cern.ch/record/68205,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTAssoc_extension,68196,TTAssoc,TTZToLL rare top-associated background component,/TTZToLL_TuneCP5_13TeV_amcatnlo-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v2/MINIAODSIM,,,13788975,,,,558,1,1,5000,https://opendata.cern.ch/record/68196,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTAssoc_extension,68072,TTAssoc,TTWJetsToLNu rare top-associated background component,/TTWJetsToLNu_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,2.151e-01,1.129e-03,3322643,1.000e+00,0.6,2.281e-01,77,77,1,5000,https://opendata.cern.ch/record/68072,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
2026-06-22T_TTAssoc_extension,68082,TTAssoc,TTWJetsToQQ rare top-associated background component,/TTWJetsToQQ_TuneCP5_13TeV-amcatnloFXFX-madspin-pythia8/RunIISummer20UL16MiniAODv2-106X_mcRun2_asymptotic_v17-v1/MINIAODSIM,4.375e-01,1.067e-03,308983,1.000e+00,0.6,2.264e-01,14,14,1,5000,https://opendata.cern.ch/record/68082,use per-event generator_weight and record-level sum of generator weights when available; otherwise tiered approximation
