analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category,Delta_N,Z,z_MET,z_HT_or_meff,z_N_jets,z_N_leptons,z_N_btags,category_bonus,B_access,B_access_z
ATLAS-SUSY-2016-06-eff,ATLAS,13.0,36.1,SR_EW,9.0,11.8,3.1,,,,,,,-2.8000000000000007,-0.9032258064516131,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_1200,611.0,526.0,31.0,,1200.0,2.0,,,,85.0,2.7419354838709675,0.0,-0.47146101515910654,-0.4476994338949424,0.0,0.0,0,-0.9191604490540489,-0.7456228878354969
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_1600,216.0,228.0,19.0,,1600.0,2.0,,,,-12.0,-0.631578947368421,0.0,-0.47130476906500746,-0.4476994338949424,0.0,0.0,0,-0.9190042029599499,-0.7455199653634829
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2000,73.0,90.0,10.0,,2000.0,2.0,,,,-17.0,-1.7,0.0,-0.4711485229709084,-0.4476994338949424,0.0,0.0,0,-0.9188479568658507,-0.7454170428914687
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2100,190.0,153.0,14.0,,2100.0,2.0,,,,37.0,2.642857142857143,0.0,-0.4711094614473837,-0.4476994338949424,0.0,0.0,0,-0.9188088953423261,-0.7453913122734652
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2400,34.0,42.0,4.0,,2400.0,2.0,,,,-8.0,-2.0,0.0,-0.4709922768768094,-0.4476994338949424,0.0,0.0,0,-0.9186917107717518,-0.7453141204194547
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_2800,19.0,17.3,2.0,,2800.0,2.0,,,,1.6999999999999993,0.8499999999999996,0.0,-0.47083603078271036,-0.4476994338949424,0.0,0.0,0,-0.9185354646776527,-0.7452111979474404
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,2j_Meff_3600,5.0,3.6,0.9,,3600.0,2.0,,,,1.4,1.5555555555555554,0.0,-0.4705235385945123,-0.4476994338949424,0.0,0.0,0,-0.9182229724894546,-0.7450053530034122
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,3j_Meff_1300,429.0,390.0,29.0,,1300.0,3.0,,,,39.0,1.3448275862068966,0.0,-0.47142195363558176,-0.4047546440728855,0.0,0.0,0,-0.8761765977084672,-0.7173085529224524
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1000,142.0,124.0,12.0,,1000.0,4.0,,,,18.0,1.5,0.0,-0.47153913820615606,-0.36180985425082873,0.0,0.0,0,-0.8333489924569848,-0.6890971404814221
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1400,199.0,182.0,16.0,,1400.0,4.0,,,,17.0,1.0625,0.0,-0.47138289211205703,-0.36180985425082873,0.0,0.0,0,-0.8331927463628858,-0.6889942180094079
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_1800,55.0,49.0,7.0,,1800.0,4.0,,,,6.0,0.8571428571428571,0.0,-0.47122664601795794,-0.36180985425082873,0.0,0.0,0,-0.8330365002687867,-0.6888912955373938
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_2200,24.0,16.5,2.7,,2200.0,4.0,,,,7.5,2.7777777777777777,0.0,-0.4710703999238589,-0.36180985425082873,0.0,0.0,0,-0.8328802541746876,-0.6887883730653797
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_2600,4.0,5.8,2.0,,2600.0,4.0,,,,-1.7999999999999998,-0.8999999999999999,0.0,-0.4709141538297599,-0.36180985425082873,0.0,0.0,0,-0.8327240080805887,-0.6886854505933656
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,4j_Meff_3000,2.0,2.0,0.6,,3000.0,4.0,,,,0.0,0.0,0.0,-0.47075790773566084,-0.36180985425082873,0.0,0.0,0,-0.8325677619864895,-0.6885825281213513
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_1600,135.0,128.0,14.0,,1600.0,5.0,,,,7.0,0.5,0.0,-0.47130476906500746,-0.3188650644287719,0.0,0.0,0,-0.7901698334937793,-0.6606541524783598
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_1700,49.0,43.0,5.0,,1700.0,5.0,,,,6.0,1.2,0.0,-0.4712657075414827,-0.3188650644287719,0.0,0.0,0,-0.7901307719702546,-0.6606284218603563
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_2000,59.0,65.0,7.0,,2000.0,5.0,,,,-6.0,-0.8571428571428571,0.0,-0.4711485229709084,-0.3188650644287719,0.0,0.0,0,-0.7900135873996803,-0.6605512300063457
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,5j_Meff_2600,10.0,9.4,2.1,,2600.0,5.0,,,,0.5999999999999996,0.28571428571428553,0.0,-0.4709141538297599,-0.3188650644287719,0.0,0.0,0,-0.7897792182585317,-0.6603968462983245
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_1200,276.0,274.0,32.0,,1200.0,6.0,,,,2.0,0.0625,0.0,-0.47146101515910654,-0.2759202746067151,0.0,0.0,0,-0.7473812897658216,-0.632468470655333
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_1800,9.0,5.1,1.8,,1800.0,6.0,,,,3.9000000000000004,2.166666666666667,0.0,-0.47122664601795794,-0.2759202746067151,0.0,0.0,0,-0.747146920624673,-0.6323140869473117
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_2200,3.0,3.1,1.3,,2200.0,6.0,,,,-0.10000000000000009,-0.07692307692307698,0.0,-0.4710703999238589,-0.2759202746067151,0.0,0.0,0,-0.746990674530574,-0.6322111644752977
ATLAS-SUSY-2016-07-eff,ATLAS,13.0,36.1,6j_Meff_2600,1.0,2.2,1.4,,2600.0,6.0,,,,-1.2000000000000002,-0.8571428571428573,0.0,-0.4709141538297599,-0.2759202746067151,0.0,0.0,0,-0.746834428436475,-0.6321082420032835
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,bWN,68.0,71.0,16.0,,,,,,,-3.0,-0.1875,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,bffN,70.0,60.5,6.1,,,,,,,9.5,1.557377049180328,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_high,19.0,18.3,2.2,,,,,,,0.6999999999999993,0.31818181818181784,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_low,34.0,30.3,5.9,,,,,,,3.6999999999999993,0.6271186440677965,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_diag_med,115.0,115.0,31.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_high,8.0,3.8,1.0,,,,,,,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-16-eff,ATLAS,13.0,36.0,tN_med,50.0,36.3,6.6,,,,,,,13.700000000000003,2.075757575757576,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-SF-loose,153.0,133.0,22.0,,,,2.0,,,20.0,0.9090909090909091,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-SF-tight,9.0,9.8,2.9,,,,2.0,,,-0.8000000000000007,-0.2758620689655175,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-high,0.0,1.6,1.6,,,,,,,-1.6,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-int,2.0,4.1,2.6,,,,,,,-2.0999999999999996,-0.8076923076923075,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,SR2-low,11.0,4.2,3.4,,,,2.0,,,6.8,2.0,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Ja,21.0,21.7,2.9,,,0.0,,,,-0.6999999999999993,-0.24137931034482735,0.0,0.0,-0.533589013539056,0.0,0.0,0,-0.533589013539056,-0.4916391610097465
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Jb,1.0,2.7,0.5,,,0.0,,,,-1.7000000000000002,-3.4000000000000004,0.0,0.0,-0.533589013539056,0.0,0.0,0,-0.533589013539056,-0.4916391610097465
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-0Jc,2.0,1.6,0.3,,,0.0,,,,0.3999999999999999,1.333333333333333,0.0,0.0,-0.533589013539056,0.0,0.0,0,-0.533589013539056,-0.4916391610097465
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Ja,1.0,2.2,0.5,,,1.0,,,,-1.2000000000000002,-2.4000000000000004,0.0,0.0,-0.4906442237169992,0.0,0.0,0,-0.4906442237169992,-0.46335055671470554
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Jb,3.0,1.8,0.3,,,1.0,,,,1.2,4.0,0.0,0.0,-0.4906442237169992,0.0,0.0,0,-0.4906442237169992,-0.46335055671470554
ATLAS-SUSY-2016-24-eff,ATLAS,13.0,36.1,WZ-1Jc,4.0,1.3,0.3,,,1.0,,,,2.7,9.000000000000002,0.0,0.0,-0.4906442237169992,0.0,0.0,0,-0.4906442237169992,-0.46335055671470554
ATLAS-SUSY-2016-27-eff,ATLAS,13.0,36.1,SRyy-SH,0.0,0.48,0.275,,,,,,,-0.48,-1.7454545454545451,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-27-eff,ATLAS,13.0,36.1,SRyy-SL,0.0,0.5,0.28,,,,,,,-0.5,-1.7857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_175,227.0,240.0,20.0,,,,,,,-13.0,-0.65,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_375,16.0,17.0,2.0,,,,,,,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_600,1.0,2.2,0.2,,,,,,,-1.2000000000000002,-6.000000000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR1FULL_825,0.0,0.48,0.07,,,,,,,-0.48,-6.857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_150,0.0,1.5,0.3,,,,,,,-1.5,-5.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_350,0.0,0.06,0.01,,,,,,,-0.06,-6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_575,0.0,0.007,0.002,,,,,,,-0.007,-3.5,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2016-32-eff-trim,ATLAS,13.0,31.6,SR2FULL_800,0.0,0.0017,0.0009,,,,,,,-0.0017,-1.8888888888888888,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_High,0.0,1.9,0.8,,,,2.0,,,-1.9,-2.3749999999999996,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_ISR,11.0,2.7,2.8,,,,2.0,,compressed,8.3,2.964285714285715,0.0,0.0,0.0,-0.30917799512281824,0.0,1,0.6908220048771818,0.31490521696914603
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_Int,1.0,2.4,0.9,,,,2.0,,,-1.4,-1.5555555555555554,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR2l_Low,19.0,8.4,5.8,,,,2.0,,,10.6,1.8275862068965518,0.0,0.0,0.0,-0.30917799512281824,0.0,0,-0.30917799512281824,-0.34381507045700677
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_High,2.0,1.1,0.5,,,,3.0,,,0.8999999999999999,1.7999999999999998,0.0,0.0,0.0,-0.30720111654563426,0.0,0,-0.30720111654563426,-0.3425128604324375
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_ISR,12.0,3.9,1.0,,,,3.0,,compressed,8.1,8.1,0.0,0.0,0.0,-0.30720111654563426,0.0,1,0.6927988834543657,0.3162074269937152
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_Int,1.0,2.3,0.5,,,,3.0,,,-1.2999999999999998,-2.5999999999999996,0.0,0.0,0.0,-0.30720111654563426,0.0,0,-0.30720111654563426,-0.3425128604324375
ATLAS-SUSY-2017-03-eff,ATLAS,13.0,36.1,SR3l_Low,20.0,10.0,2.0,,,,3.0,,,10.0,5.0,0.0,0.0,0.0,-0.30720111654563426,0.0,0,-0.30720111654563426,-0.3425128604324375
ATLAS-SUSY-2018-04-eff,ATLAS,13.0,139.0,SRhigh,7.0,10.2,3.3,,,,,,,-3.1999999999999993,-0.9696969696969695,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-04-eff,ATLAS,13.0,139.0,SRlow,10.0,6.0,1.7,,,,,,,4.0,2.3529411764705883,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh16_1_cuts,4.0,3.9,0.7,,,,,,,0.10000000000000009,0.142857142857143,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh16_2_cuts,3.0,3.4,0.9,,,,,,,-0.3999999999999999,-0.4444444444444443,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh4_cuts,1.0,0.85,0.34,,,,,,,0.15000000000000002,0.44117647058823534,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh8_1_cuts,0.0,2.0,0.23,,,,,,,-2.0,-8.695652173913043,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRHigh8_2_cuts,0.0,2.0,0.33,,,,,,,-2.0,-6.0606060606060606,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRInt_1_cuts,24.0,22.8,3.5,,,,,,,1.1999999999999993,0.34285714285714264,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRInt_2_cuts,14.0,10.1,1.0,,,,,,,3.9000000000000004,3.9000000000000004,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow2_cuts,8.0,9.0,4.0,,,,,,,-1.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow_1_cuts,10.0,12.8,3.4,,,,,,,-2.8000000000000007,-0.8235294117647061,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRLow_2_cuts,8.0,10.5,2.5,,,,,,,-2.5,-1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SROffShell_1_cuts,6.0,9.2,1.7,,,,,,,-3.1999999999999993,-1.8823529411764701,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SROffShell_2_cuts,15.0,12.5,1.9,,,,,,,2.5,1.3157894736842106,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-ewk-eff,ATLAS,13.0,139.0,SRllbb_cuts,0.0,0.58,0.2,,,,,,,-0.58,-2.8999999999999995,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_1,2.0,3.4351273442152888,1.7025138841397618,,,,,,,-1.4351273442152888,-0.8429460444256073,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_2,1.0,2.3979504567105323,1.5191743660769597,,,,,,,-1.3979504567105323,-0.9202040844860554,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_3,4.0,1.3357810014858842,1.151463336958066,,,,,,,2.664218998514116,2.3137679794064874,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_4,2.0,1.3157828722614795,1.125848883990465,,,,,,,0.6842171277385205,0.6077344281884239,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_5,2.0,0.6147741745226085,0.124296798595777,,,,,,,1.3852258254773915,11.144501235162583,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_6,17.0,18.293138783425093,2.102256586867001,,,,,,,-1.2931387834250927,-0.6151193871877748,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_7,8.0,3.381276366766542,1.6398481748429128,,,,,,,4.618723633233458,2.8165556446564954,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_8,2.0,1.4429721226915715,1.2050139446001025,,,,,,,0.5570278773084285,0.4622584492109629,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_1,7.0,15.287938991561532,2.4837196812148674,,,,,,,-8.287938991561532,-3.3369059536974937,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_2,11.0,11.09393750037998,3.040438367861763,,,,,,,-0.09393750037997961,-0.03089603833872241,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_3,1.0,2.110426985658705,1.1255873899640243,,,,,,,-1.1104269856587048,-0.9865311174943031,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_1,4.0,5.443833244498819,1.9041663868187515,,,,,,,-1.4438332444988191,-0.7582495177383103,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_2,4.0,3.518383995629847,1.525256650649721,,,,,,,0.48161600437015295,0.3157606322614602,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_3,10.0,7.307688193395734,1.9768898980935656,,,,,,,2.692311806604266,1.36189264217528,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_4,74.0,82.42549605667591,2.499541510871995,,,,,,,-8.425496056675911,-3.3708166157786974,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_5,8.0,6.385065665468574,1.2533112810154945,,,,,,,1.6149343345314264,1.2885341087993136,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_6,5.0,5.082157160621136,1.9766191890528408,,,,,,,-0.08215716062113643,-0.041564486005270754,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_7,7.0,2.7261937092989683,1.5571880650743568,,,,,,,4.273806290701032,2.7445665597860556,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_8,3.0,1.6239504769910127,1.1610795300380623,,,,,,,1.3760495230089873,1.1851466565463245,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_9,3.0,1.978407829068601,1.19622836503299,,,,,,,1.021592170931399,0.8540109905379357,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_1,11.0,19.53039805218577,4.160507506139764,,,,,,,-8.53039805218577,-2.050326321872332,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_2,27.0,27.937604054808617,2.063812613736648,,,,,,,-0.9376040548086166,-0.45430677599698943,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_3,18.0,12.071621686220167,3.0890954485443527,,,,,,,5.928378313779833,1.9191308305392152,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_4,4.0,7.508933356031775,2.7214288007035634,,,,,,,-3.5089333560317746,-1.2893717282350432,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_5,5.0,5.604245090158656,2.2113523417218675,,,,,,,-0.6042450901586562,-0.27324686290750094,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_6,0.0,1.0913405334576964,0.9430538587011608,,,,,,,-1.0913405334576964,-1.1572409395161867,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRZHigh_cuts,3.0,5.682671178132296,0.4098210613449702,,,,,,,-2.6826711781322956,-6.54595732422384,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.14015325264386227
