analysis,experiment,sqrt_s,luminosity,signal_region,N_obs,N_exp,sigma_exp,MET,HT_or_meff,N_jets,N_leptons,N_btags,category
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_1,2.0,3.4351273442152888,1.7025138841397618,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_2,1.0,2.3979504567105323,1.5191743660769597,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_3,4.0,1.3357810014858842,1.151463336958066,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_4,2.0,1.3157828722614795,1.125848883990465,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_5,2.0,0.6147741745226085,0.124296798595777,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_6,17.0,18.293138783425093,2.102256586867001,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_7,8.0,3.381276366766542,1.6398481748429128,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRC_Bin_8,2.0,1.4429721226915715,1.2050139446001025,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_1,7.0,15.287938991561532,2.4837196812148674,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_2,11.0,11.09393750037998,3.040438367861763,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRHigh_Bin_3,1.0,2.110426985658705,1.1255873899640243,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_1,4.0,5.443833244498819,1.9041663868187515,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_2,4.0,3.518383995629847,1.525256650649721,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_3,10.0,7.307688193395734,1.9768898980935656,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_4,74.0,82.42549605667591,2.499541510871995,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_5,8.0,6.385065665468574,1.2533112810154945,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_6,5.0,5.082157160621136,1.9766191890528408,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_7,7.0,2.7261937092989683,1.5571880650743568,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_8,3.0,1.6239504769910127,1.1610795300380623,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRLow_Bin_9,3.0,1.978407829068601,1.19622836503299,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_1,11.0,19.53039805218577,4.160507506139764,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_2,27.0,27.937604054808617,2.0638126137366477,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_3,18.0,12.071621686220167,3.0890954485443527,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_4,4.0,7.508933356031775,2.7214288007035634,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_5,5.0,5.604245090158656,2.2113523417218675,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRMed_Bin_6,0.0,1.0913405334576964,0.9430538587011608,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRZHigh_cuts,3.0,5.682671178132296,0.4098210613449702,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRZLow_cuts,35.0,29.66320458799601,1.231685169627945,,,,,,
ATLAS-SUSY-2018-05-strong-eff,ATLAS,13.0,139.0,SRZMed_cuts,15.0,14.899351075291634,1.0505669385064922,,,,,,
ATLAS-SUSY-2018-06-eff,ATLAS,13.0,139.0,SR_ISR,30.0,23.4,2.1,,,,,,compressed
ATLAS-SUSY-2018-06-eff,ATLAS,13.0,139.0,SR_low,51.0,46.0,5.0,,,,,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SR4la,19.0,19.3,2.7,,,,4.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SR4sm,10.0,12.8,3.2,,,,,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF110,19.0,22.0,4.0,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF120,13.0,16.3,3.2,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF140,5.0,5.1,0.8,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF160,1.0,2.83,0.45,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF180,1.0,3.25,0.45,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDF220,3.0,3.11,0.67,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDFW,1.0,5.1,1.0,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRDFt,5.0,7.5,1.4,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF110,17.0,18.8,3.5,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF120,19.0,14.4,2.9,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF140,9.0,5.1,0.9,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF160,3.0,3.7,0.6,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF180,4.0,4.4,0.7,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSF220,5.0,5.0,1.0,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSFW,5.0,4.0,1.0,,,,2.0,,
ATLAS-SUSY-2018-08-eff,ATLAS,13.0,139.0,SRSFt,5.0,5.0,1.1,,,,2.0,,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j0b_1,280.0,275.9,12.2,,,2.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j0b_2,84.0,77.6,5.0,,,2.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j0b_3,22.0,14.8,1.8,,,2.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j1b_1,154.0,146.9,9.4,,,2.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j1b_2,106.0,114.5,8.2,,,2.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,2j1b_3,21.0,19.0,3.2,,,2.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0bhighx_1,104.0,96.6,9.0,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0bhighx_2,32.0,21.6,2.5,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0bhighx_3,11.0,9.4,2.4,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0blowx_1,393.0,391.9,14.9,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0blowx_2,57.0,58.4,3.5,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j0blowx_3,10.0,10.3,1.2,,,4.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1bhighx_1,121.0,121.2,8.0,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1bhighx_2,26.0,25.3,3.0,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1bhighx_3,8.0,8.0,1.6,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1blowx_1,695.0,690.0,21.9,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1blowx_2,79.0,88.6,6.0,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,4j1blowx_3,11.0,13.5,1.7,,,4.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j0b_1,19.0,23.9,3.0,,,6.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j0b_2,16.0,17.2,1.5,,,6.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j0b_3,3.0,3.6,0.5,,,6.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j0b_4,2.0,2.1,0.6,,,6.0,,0.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j1b_1,117.0,110.8,6.5,,,6.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j1b_2,68.0,69.2,4.9,,,6.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j1b_3,7.0,12.9,1.6,,,6.0,,1.0,
ATLAS-SUSY-2018-10-eff,ATLAS,13.0,139.0,6j1b_4,2.0,2.4,0.8,,,6.0,,1.0,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRAT0,11.0,17.3,1.7,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRATT,4.0,3.2,0.5,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRATW,8.0,5.6,0.7,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRBT0,292.0,276.0,24.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRBTT,67.0,46.0,7.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRBTW,84.0,81.0,7.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRC1,53.0,46.0,12.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRC2,57.0,52.0,9.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRC3,38.0,32.0,7.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRC4,9.0,11.8,3.1,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRC5,4.0,2.5,0.7,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRD0,5.0,6.9,1.3,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRD1,4.0,3.1,1.0,,,,,,
ATLAS-SUSY-2018-12-eff,ATLAS,13.0,139.0,SRD2,10.0,12.2,1.5,,,,,,
ATLAS-SUSY-2018-13-eff,ATLAS,13.0,139.0,SR_HighPT,1.0,0.46,0.3,,,,,,
ATLAS-SUSY-2018-13-eff,ATLAS,13.0,139.0,SR_Trackless,0.0,0.83,0.53,,,,,,
ATLAS-SUSY-2018-14-eff,ATLAS,13.0,139.0,SRee,0.0,0.46,0.1,,,,2.0,,
ATLAS-SUSY-2018-14-eff,ATLAS,13.0,139.0,SRem,0.0,0.007,0.19,,,,2.0,,
ATLAS-SUSY-2018-14-eff,ATLAS,13.0,139.0,SRmm,0.0,0.11,0.2,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_c,1.0,0.7,0.4,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_d,16.0,4.8,1.6,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_e,13.0,11.3,3.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_f,8.0,10.5,2.5,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_g,8.0,11.1,2.6,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_high_h,18.0,19.2,3.5,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_c,7.0,3.9,1.8,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_d,11.0,6.9,2.2,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_e,16.0,16.0,4.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_f,16.0,13.0,4.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_g,10.0,13.6,3.2,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_low_h,9.0,21.9,3.5,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_med_c,0.0,0.13,0.31,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_med_d,4.0,4.5,2.3,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_med_e,11.0,4.9,1.9,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_ee_med_f,4.0,0.9,0.8,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_a,5.0,2.5,1.2,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_b,5.0,2.1,1.3,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_c,0.0,6.9,2.4,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_d,9.0,12.1,2.6,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_e,23.0,14.6,3.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_f,3.0,10.0,2.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_g,5.0,11.1,2.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_high_h,20.0,20.1,2.8,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_a,9.0,18.0,4.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_b,7.0,9.2,2.8,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_c,7.0,6.0,2.4,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_d,12.0,11.0,2.4,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_e,17.0,14.8,3.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_f,18.0,16.47,3.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_g,16.0,14.6,2.5,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_low_h,44.0,33.0,4.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_med_a,16.0,13.0,5.0,,,,2.0,,
ATLAS-SUSY-2018-16-eff,ATLAS,13.0,139.0,SR_ewk_2l_mm_med_b,8.0,5.5,2.9,,,,2.0,,
